run,depth,regime,event,target_step,selected_checkpoint_step,checkpoint
seed4_stable_muon,1,stable_muon,grokking_after,5400,6000,checkpoints/seedstudy_stable_muon_seed_4/step_006000.pt
seed4_stable_muon,1,stable_muon,minimum_post_grokking_accuracy,5400,5000,checkpoints/seedstudy_stable_muon_seed_4/step_005000.pt
seed4_stable_muon,1,stable_muon,first_99_before,5700,5000,checkpoints/seedstudy_stable_muon_seed_4/step_005000.pt
seed4_stable_muon,1,stable_muon,first_99_after,5700,6000,checkpoints/seedstudy_stable_muon_seed_4/step_006000.pt
seed4_stable_muon,1,stable_muon,freeze_before,7500,7000,checkpoints/seedstudy_stable_muon_seed_4/step_007000.pt
seed4_stable_muon,1,stable_muon,freeze_after,7500,8000,checkpoints/seedstudy_stable_muon_seed_4/step_008000.pt
seed4_adamw_stable,1,adamw,regular_stride,0,0,checkpoints/seedstudy_adamw_stable_seed_4/step_000000.pt
seed4_adamw_stable,1,adamw,regular_stride,25000,25000,checkpoints/seedstudy_adamw_stable_seed_4/step_025000.pt
seed4_adamw_stable,1,adamw,regular_stride,50000,50000,checkpoints/seedstudy_adamw_stable_seed_4/step_050000.pt
seed4_adamw_stable,1,adamw,regular_stride,75000,75000,checkpoints/seedstudy_adamw_stable_seed_4/step_075000.pt
seed4_adamw_stable,1,adamw,regular_stride,100000,100000,checkpoints/seedstudy_adamw_stable_seed_4/step_100000.pt
seed4_adamw_stable,1,adamw,initial,0,0,checkpoints/seedstudy_adamw_stable_seed_4/step_000000.pt
seed4_adamw_stable,1,adamw,final,100000,100000,checkpoints/seedstudy_adamw_stable_seed_4/step_100000.pt
seed4_adamw_stable,1,adamw,maximum_test_accuracy,6600,7000,checkpoints/seedstudy_adamw_stable_seed_4/step_007000.pt
seed4_adamw_stable,1,adamw,grokking_before,6400,6000,checkpoints/seedstudy_adamw_stable_seed_4/step_006000.pt
seed4_adamw_stable,1,adamw,grokking_after,6400,7000,checkpoints/seedstudy_adamw_stable_seed_4/step_007000.pt
seed4_adamw_stable,1,adamw,minimum_post_grokking_accuracy,6400,6000,checkpoints/seedstudy_adamw_stable_seed_4/step_006000.pt
seed4_adamw_stable,1,adamw,first_99_before,6400,6000,checkpoints/seedstudy_adamw_stable_seed_4/step_006000.pt
seed4_adamw_stable,1,adamw,first_99_after,6400,7000,checkpoints/seedstudy_adamw_stable_seed_4/step_007000.pt
